cockneyfied cockneyfy
codded cod
codding cod
codfishes codfish
codices codex
codified codify
coelentera coelenteron
coenuri coenurus
cogged cog
cogging cog
cognomina cognomen
cognosenti cognosente
coiffed coif
coiffing coif
cola colon
coleorhizae coleorhiza
collegia collegium
collied colly
colloquia colloquium
colluvia colluvium
collyria collyrium
colones colon
colossi colossus
columbaria columbarium
columellae columella
comae coma
comatulae comatula
combatted combat
combatting combat
comedones comedo
comics comic_strip comic
commandoes commando
committed commit
committing commit
compelled compel
compelling compel
complied comply
complotted complot
complotting complot
concertanti concertante
concerti concerto
concerti_grossi concerto_grosso
concertini concertino
conchae concha
concurred concur
concurring concur
condottieri condottiere
condylomata condyloma
confabbed confab
confabbing confab
conferred confer
conferring confer
confervae conferva
congii congius
conidia conidium
conjunctivae conjunctiva
conned con
conning con
conquistadores conquistador
consortia consortium
contagia contagium
continua continuum
contralti contralto
controlled control
controlling control
conversazioni conversazione
convolvuli convolvulus
cooks-general cook-general
copied copy
copped cop
copping cop
copulae copula
coquetted coquet
coquetting coquet
corbiculae corbicula
coria corium
corneae cornea
cornua cornu
coronae corona
corpora corpus
corpora_lutea corpus_luteum
corpora_striata corpus_striatum
corralled corral
corralling corral
corrigenda corrigendum
cortices cortex
cortinae cortina
corybantes corybant
coryphaei coryphaeus
costae costa
cothurni cothurnus
counselled counsel
counselling counsel
counterplotted counterplot
counterplotting counterplot
countersank countersink
countersunk countersink
court-martialled court-martial
court-martialling court-martial
courts_martial court_martial
couteaux couteau
cowfishes cowfish
coxae coxa
crabbed crab
crabbing crab
cramboes crambo
crammed cram
cramming cram
crania cranium
crapped crap
crapping crap
crases crasis
crawfishes crawfish
crayfishes crayfish
credenda credendum
crematoria crematorium
crept creep
crescendi crescendo
cribbed crib
cribbing crib
cribella cribellum
cried cry
crises crisis
crissa crissum
cristae crista
criteria criterion
cropped crop
cropping crop
crossbred crossbreed
crosscutting crosscut
cruces crux
crucified crucify
crura crus
crusadoes crusado
cruzadoes cruzado
crying cry
cryings cry
ctenidia ctenidium
cubbed cub
cubbing cub
cubicula cubiculum
cudgelled cudgel
cudgelling cudgel
culices culex
culpae culpa
culs-de-sac cul-de-sac
culti cultus
cumuli cumulus
cumulonimbi cumulonimbus
cumulostrati cumulostratus
cupelled cupel
cupelling cupel
cupped cup
cupping cup
curetted curet
curettes curet
curetting curet
curiae curia
curricula curriculum
curried curry
curst curse
curtsied curtsy
curvetted curvet
curvetting curvet
custodes custos
cutes cutis
cuticulae cuticula
cutting cut
cuttlefishes cuttlefish
cyclopes cyclops
cycloses cyclosis
cylices cylix
cylikes cylix
cymae cyma
cymatia cymatium
cypselae cypsela
cysticerci cysticercus
dabbed dab
dabbing dab
dadoes dado
dagged dag
dagging dag
dagoes dago
dallied dally
